sl_no,gender,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary
1,1,0.8570514188180074,1,0.05714285714285716,2,0.10416666666666669,1,58.8,0.0945945945945946
2,1,0.5867292511201195,2,0.6137142857142859,2,0.7604166666666666,0,66.28,0.008243243243243256
3,1,0.4090226245137384,0,0.2285714285714286,0,0.5208333333333333,0,57.8,0.06756756756756757
5,1,0.48581181992745887,1,0.4942857142857142,0,0.9749999999999999,0,55.5,0.30168918918918924
8,1,0.28098997226370814,2,0.28571428571428575,2,0.35416666666666663,0,62.14,0.07027027027027027
9,1,0.6010241092383188,1,0.4571428571428572,0,0.8612500000000001,0,61.29,0.04189189189189191
11,1,0.4090226245137384,1,0.1142857142857143,0,0.25,1,60.85,0.08108108108108109
12,1,0.37486665244292744,1,0.6371428571428571,0,0.20833333333333331,0,63.7,0.06756756756756757
14,0,0.7717089822914445,1,0.08571428571428569,0,0.375,0,68.63,0.024324324324324326
16,0,0.515681672711756,1,0.37142857142857144,0,0.4583333333333333,0,64.66,0.008243243243243256
17,1,0.3279283123533178,1,0.27428571428571413,0,0.20833333333333331,0,62.54,0.13513513513513514
20,1,0.3449967996586303,0,0.3637706511175899,0,0.009999999999999953,0,77.89,0.048648648648648665
21,1,0.3023255813953489,1,0.28571428571428575,0,0.0,1,56.7,0.08783783783783786
22,0,0.5370172818433967,1,0.8285714285714286,0,0.9375,0,69.06,0.2608108108108108
23,0,0.21271602304245785,2,0.46371428571428586,2,0.11520833333333336,1,68.81,0.21621621621621623
24,0,0.19564753573714533,2,0.24971428571428558,2,0.875,0,63.62,0.13513513513513514
25,1,1.0000000000000002,2,0.6531428571428572,2,0.9875,0,74.01,0.21621621621621623
27,1,0.6010241092383188,1,0.28571428571428575,0,0.9166666666666665,0,57.55,0.05405405405405406
28,1,0.3449967996586303,1,0.28571428571428575,0,0.375,1,57.69,0.08783783783783786
29,1,0.5476850864092171,1,0.3285714285714286,0,0.4864583333333332,0,64.15,0.20270270270270274
31,0,0.48367825901429495,1,0.48571428571428577,0,0.041666666666666685,1,56.7,0.06756756756756757
33,0,0.6436953275016002,1,0.2971428571428573,0,0.018541666666666734,1,62.21,0.10540540540540541
34,0,0.3023255813953489,2,0.7142857142857144,0,0.7916666666666666,0,72.78,0.08108108108108109
36,0,0.579688500106678,1,0.4571428571428572,0,0.4375,1,62.74,0.13513513513513514
38,0,0.5370172818433967,2,0.27428571428571413,2,0.16666666666666669,1,55.47,0.16216216216216217
39,0,0.15297631747386392,2,0.28571428571428575,0,0.07708333333333345,1,56.86,0.05405405405405406
40,1,0.366332408790271,2,0.2285714285714286,2,0.8958333333333333,0,62.56,0.28513513513513516
41,0,0.5583528909750374,1,0.6857142857142857,0,0.20833333333333331,0,66.72,0.11756756756756757
44,1,0.7717089822914445,1,0.34285714285714286,0,0.9375,1,62.9,0.13513513513513514
45,0,0.47301045444847456,1,0.7142857142857144,0,0.8125,0,69.7,0.008243243243243256
48,1,0.19564753573714533,1,0.02857142857142858,0,0.5833333333333333,0,54.55,0.008243243243243256
49,1,0.23831875400042676,1,0.34285714285714286,0,0.29166666666666663,0,62.46,0.06756756756756757
51,0,0.4772775762748028,2,0.3542857142857145,0,0.3125,1,62.98,0.008243243243243256
54,1,0.4090036270535524,2,0.4571428571428572,2,0.7708333333333333,1,71.04,0.30168918918918924
55,0,0.19564753573714533,2,0.37142857142857144,0,0.4821018835616438,1,65.56,0.021621621621621637
56,1,0.3364625560059739,2,0.2571428571428572,0,0.4375,1,52.71,0.02702702702702703
57,1,0.4388734798378495,1,0.15428571428571428,0,0.375,0,66.88,0.05405405405405406
58,1,0.5370172818433967,1,0.5142857142857143,0,0.625,0,63.59,0.21621621621621623
59,1,0.23831875400042676,2,0.34285714285714286,0,0.5,0,57.99,0.0918918918918919
60,1,0.3147002346917005,2,0.4602857142857143,2,0.15833333333333338,0,56.66,0.08783783783783786
61,1,0.4090036270535524,2,0.4571428571428572,0,0.20833333333333331,0,57.24,0.08108108108108109
62,1,0.481544698101131,1,0.31114285714285717,0,0.2416666666666667,0,62.48,0.13513513513513514
