sl_no,gender,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary
1,M,0.8570514188180074,Commerce,0.05714285714285716,Sci&Tech,0.10416666666666669,Mkt&HR,58.8,0.0945945945945946
2,M,0.5867292511201195,Science,0.6137142857142859,Sci&Tech,0.7604166666666666,Mkt&Fin,66.28,0.0
3,M,0.4090226245137384,Arts,0.2285714285714286,Comm&Mgmt,0.5208333333333333,Mkt&Fin,57.8,0.06756756756756757
5,M,0.48581181992745887,Commerce,0.4942857142857142,Comm&Mgmt,0.9749999999999999,Mkt&Fin,55.5,0.30405405405405406
8,M,0.28098997226370814,Science,0.28571428571428575,Sci&Tech,0.35416666666666663,Mkt&Fin,62.14,0.07027027027027027
9,M,0.6010241092383188,Commerce,0.4571428571428572,Comm&Mgmt,0.8612500000000001,Mkt&Fin,61.29,0.04189189189189191
11,M,0.4090226245137384,Commerce,0.1142857142857143,Comm&Mgmt,0.25,Mkt&HR,60.85,0.08108108108108109
12,M,0.37486665244292744,Commerce,0.6371428571428571,Comm&Mgmt,0.20833333333333331,Mkt&Fin,63.7,0.06756756756756757
14,F,0.7717089822914445,Commerce,0.08571428571428569,Comm&Mgmt,0.375,Mkt&Fin,68.63,0.024324324324324326
16,F,0.515681672711756,Commerce,0.37142857142857144,Comm&Mgmt,0.4583333333333333,Mkt&Fin,64.66,0.0
17,M,0.3279283123533178,Commerce,0.27428571428571413,Comm&Mgmt,0.20833333333333331,Mkt&Fin,62.54,0.13513513513513514
20,M,0.3449967996586303,Arts,0.3637706511175899,Comm&Mgmt,0.009999999999999953,Mkt&Fin,77.89,0.048648648648648665
21,M,0.3023255813953489,Commerce,0.28571428571428575,Comm&Mgmt,0.0,Mkt&HR,56.7,0.08783783783783786
22,F,0.5370172818433967,Commerce,0.8285714285714286,Comm&Mgmt,0.9375,Mkt&Fin,69.06,0.2608108108108108
23,F,0.21271602304245785,Science,0.46371428571428586,Sci&Tech,0.11520833333333336,Mkt&HR,68.81,0.21621621621621623
24,F,0.19564753573714533,Science,0.24971428571428558,Sci&Tech,0.875,Mkt&Fin,63.62,0.13513513513513514
25,M,1.0000000000000002,Science,0.6531428571428572,Sci&Tech,0.9875,Mkt&Fin,74.01,0.21621621621621623
27,M,0.6010241092383188,Commerce,0.28571428571428575,Comm&Mgmt,0.9166666666666665,Mkt&Fin,57.55,0.05405405405405406
28,M,0.3449967996586303,Commerce,0.28571428571428575,Comm&Mgmt,0.375,Mkt&HR,57.69,0.08783783783783786
29,M,0.5476850864092171,Commerce,0.3285714285714286,Comm&Mgmt,0.4864583333333332,Mkt&Fin,64.15,0.20270270270270274
31,F,0.48367825901429495,Commerce,0.48571428571428577,Comm&Mgmt,0.041666666666666685,Mkt&HR,56.7,0.06756756756756757
33,F,0.6436953275016002,Commerce,0.2971428571428573,Comm&Mgmt,0.018541666666666734,Mkt&HR,62.21,0.10540540540540541
34,F,0.3023255813953489,Science,0.7142857142857144,Comm&Mgmt,0.7916666666666666,Mkt&Fin,72.78,0.08108108108108109
36,F,0.579688500106678,Commerce,0.4571428571428572,Comm&Mgmt,0.4375,Mkt&HR,62.74,0.13513513513513514
38,F,0.5370172818433967,Science,0.27428571428571413,Sci&Tech,0.16666666666666669,Mkt&HR,55.47,0.16216216216216217
39,F,0.15297631747386392,Science,0.28571428571428575,Comm&Mgmt,0.07708333333333345,Mkt&HR,56.86,0.05405405405405406
40,M,0.366332408790271,Science,0.2285714285714286,Sci&Tech,0.8958333333333333,Mkt&Fin,62.56,0.28513513513513516
41,F,0.5583528909750374,Commerce,0.6857142857142857,Comm&Mgmt,0.20833333333333331,Mkt&Fin,66.72,0.11756756756756757
44,M,0.7717089822914445,Commerce,0.34285714285714286,Comm&Mgmt,0.9375,Mkt&HR,62.9,0.13513513513513514
45,F,0.47301045444847456,Commerce,0.7142857142857144,Comm&Mgmt,0.8125,Mkt&Fin,69.7,0.0
48,M,0.19564753573714533,Commerce,0.02857142857142858,Comm&Mgmt,0.5833333333333333,Mkt&Fin,54.55,0.00540540540540542
49,M,0.23831875400042676,Commerce,0.34285714285714286,Comm&Mgmt,0.29166666666666663,Mkt&Fin,62.46,0.06756756756756757
