cylinders,displacement,hp,weight_lbs,acceleration,year,weight_kg,vehicle_age,origin_encoded,origin_europe,origin_japan,origin_usa,miles_per_gallon
8.0,307.0,130.0,3504.0,12.0,1970,1589.386368,56,2,False,False,True,18.0
8.0,350.0,165.0,3693.0,11.5,1970,1675.115256,56,2,False,False,True,15.0
8.0,318.0,150.0,3436.0,11.0,1970,1558.542112,56,2,False,False,True,18.0
8.0,304.0,150.0,3433.0,12.0,1970,1557.1813359999999,56,2,False,False,True,16.0
4.0,302.0,140.0,3449.0,10.5,1970,1564.4388079999999,56,2,False,False,True,17.0
8.0,429.0,198.0,4341.0,10.0,1970,1969.042872,56,2,False,False,True,15.0
8.0,454.0,220.0,2797.5,9.0,1970,1268.92362,56,2,False,False,True,14.0
8.0,440.0,215.0,4312.0,8.5,1970,1955.888704,56,2,False,False,True,14.0
8.0,455.0,92.5,4425.0,10.0,1970,2007.1446,56,2,False,False,True,14.0
8.0,390.0,190.0,3850.0,8.5,1970,1746.3292,56,2,False,False,True,15.0
8.0,383.0,170.0,3563.0,10.0,1970,1616.148296,56,2,False,False,True,15.0
8.0,340.0,160.0,3609.0,8.0,1970,1637.013528,56,2,False,False,True,14.0
4.0,400.0,150.0,3761.0,9.5,1970,1705.959512,56,2,False,False,True,15.0
8.0,455.0,225.0,3086.0,10.0,1970,1399.784912,56,2,False,False,True,14.0
4.0,113.0,95.0,2372.0,15.0,1970,1075.920224,56,1,False,True,False,24.0
6.0,198.0,95.0,2833.0,15.5,1970,1285.026136,56,2,False,False,True,22.0
6.0,199.0,97.0,2774.0,15.5,1970,1258.264208,56,2,False,False,True,18.0
6.0,200.0,85.0,2587.0,16.0,1970,1173.442504,56,2,False,False,True,21.0
4.0,97.0,88.0,2130.0,14.5,1970,966.1509599999999,56,1,False,True,False,27.0
4.0,97.0,92.5,1835.0,20.5,1970,832.34132,56,0,True,False,False,26.0
4.0,110.0,87.0,2672.0,17.5,1970,1211.997824,56,0,True,False,False,25.0
4.0,107.0,90.0,2430.0,14.5,1970,1102.22856,56,0,True,False,False,24.0
4.0,104.0,95.0,2375.0,17.5,1970,1077.281,56,0,True,False,False,25.0
4.0,121.0,113.0,2234.0,15.5,1970,1013.324528,56,0,True,False,False,26.0
6.0,199.0,90.0,2648.0,15.0,1970,1201.111616,56,2,False,False,True,21.0
8.0,360.0,215.0,4615.0,14.0,1970,2093.32708,56,2,False,False,True,10.0
8.0,307.0,200.0,4376.0,15.0,1970,1984.918592,56,2,False,False,True,10.0
8.0,318.0,210.0,4382.0,13.5,1970,1987.640144,56,2,False,False,True,11.0
